budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
2500000,Comedy,More American Graffiti,College graduates deal with Vietnam and other issues of the late '60s.,Lucasfilm,29070,15014674,110,The sights and sounds of the '60s. There were bittersweet times. There were funny times. And it was all unforgettable.,More American Graffiti
5000000,Drama,Tough Guys Don't Dance,"Writer, ex-con and 40-something bottle-baby Tim Madden, who is prone to black-outs, awakens from a two-week bender to discover a pool of blood in his car.",Zoetrope Studios,32038,858250,110,A love story shadowed by murder. A comedy laced with horror.,Tough Guys Don't Dance
23000000,Drama,Mobsters,"The story of a group of friends in turn of the century New York, from their early days as street hoods to their rise in the world of organized crime...",Universal Pictures,33445,20246790,104,They didn't take orders...They took over.,Mobsters
500000,Drama,The Station Agent,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Next Wednesday Productions,37647,8679814,88,Loneliness is much better when you have got someone to share it with.,The Station Agent
25000000,Thriller,Mystic River,"A story about friendship and loyalty, guilt and vengeance, and the fateful affect the past has on the present.",Village Roadshow Pictures,37901,156822020,138,"We bury our sins, we wash them clean.",Mystic River
60000000,Crime,Intolerable Cruelty,A revenge-seeking gold digger marries a womanizing Beverly Hills lawyer with the intention of making a killing in the divorce.,Imagine Entertainment,37866,119940815,100,They can't keep their hands off each others assets.,Intolerable Cruelty
60000000,Drama,Runaway Jury,A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.,Regency Enterprises,37903,80154140,127,Trials are too important to be decided by juries.,Runaway Jury
9500000,Horror,The Texas Chainsaw Massacre,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding killer and his family of equally psychopathic killers.",New Line Cinema,37911,107071655,98,What you know about fear... doesn't even come close.,The Texas Chainsaw Massacre
7000000,Drama,Sylvia,Story of the relationship between the poets Ted Hughes and Sylvia Plath.,Focus Films,37911,10000000,109,Life was too small to contain her...,Sylvia
48000000,Comedy,Scary Movie 3,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",Dimension Films,37918,220673217,84,Great trilogies come in threes.,Scary Movie 3
3000000,Drama,Elephant,Several ordinary high school students go through their daily routine as two others prepare for something more malevolent. The film chronicles the events surrounding a school shooting.,HBO Films,37759,10012022,81,An ordinary high school day. Except that it's not.,Elephant
150000000,Adventure,The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Village Roadshow Pictures,37930,424988211,129,Everything that has a beginning has an end.,The Matrix Revolutions
40000000,Comedy,Love Actually,Follows seemingly unrelated people as their lives begin to intertwine while they fall in and out of love. Affections languish and develop as Christmas draws near.,Universal Pictures,37871,244931766,135,The ultimate romantic comedy.,Love Actually
300000,Music,Tupac: Resurrection,"Home movies, photographs, and recited poetry illustrate the life of Tupac Shakur, one of the most beloved, revolutionary, and volatile hip-hop MCs of all time.",Paramount Pictures,37644,7808524,112,In his own words,Tupac: Resurrection
23000000,Drama,Bad Santa,"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot.",Columbia Pictures,37951,76488889,91,He doesn't care if you're naughty or nice.,Bad Santa
80000000,Action,Timeline,A group of archaeological students become trapped in the past when they go there to retrieve their professor. The group must survive in 14th century France long enough to be rescued.,Paramount Pictures,37951,43935763,116,They had to travel into the past to save the future,Timeline
8500000,Thriller,New Jack City,"A gangster, Nino, is in the Cash Money Brothers, making a million dollars every week selling crack. A cop, Scotty, discovers that the only way to infiltrate the gang is to become a dealer himself.",Warner Bros.,33305,47624253,97,They're a new breed of gangster. The new public enemy. The new family of crime.,New Jack City
1250000,Drama,Ultimo tango a Parigi,A young Parisian woman begins a sordid affair with a middle-aged American businessman whom lays out ground rules that their clandestine relationship will be based only on sex.,United Artists,26586,36144000,129,Bernardo Bertolucci's Landmark Film,Last Tango in Paris
15000000,Action,Passenger 57,"An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand this sort of thing.",Warner Bros.,33913,44065653,84,"He's an ex-cop with a bad mouth, a bad attitude, and a bad seat. For the terrorists on flight 163 . . . he's very bad news.",Passenger 57
