budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
1000000,Action,Sands of Iwo Jima,"The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him.",Republic Pictures (I),18246,7800000,100,A Great Human Story... Makes A Mighty Motion Picture!!!,Sands of Iwo Jima
360000,Action,The Born Losers,A ruthless motorcycle gang rides into a California town and terrorizes its denizens.,Fanfare Films,24702,36000000,113,An innocent girl is first prize in the dirtiest game ever played!,The Born Losers
6000000,Action,The Hitcher,"A young man who escaped the clutches of a murderous hitch-hiker is subsequently stalked, framed for the hitcher's crimes, and has his life made into hell by the same man he escaped.",Silver Screen Partners,31464,5844868,97,The terror starts the moment he stops.,The Hitcher
2300000,Music,Show Boat,A dashing Mississippi river gambler wins the affections of the daughter of the owner of the Show Boat.,Metro-Goldwyn-Mayer (MGM),18822,11000000,107,It's NEW!,Show Boat
110000000,Action,Around the World in 80 Days,"A bet pits a British inventor, a Chinese thief and a French artist on a worldwide adventure that they can circle the globe in 80 days.",Studio Babelsberg,38154,72178895,120,Let your imagination soar.,Around the World in 80 Days
2000000,Comedy,Bob & Carol & Ted & Alice,"Couples Bob &amp; Carol Sanders and Ted &amp; Alice Henderson are best friends. After attending a weekend self-help self-discovery session, Bob and Carol feel newly enlightened, and want their friends, Ted and Alice, to feel the same way.",Columbia Pictures Corporation,25463,30000000,101,Consider the Possibilities,Bob & Carol & Ted & Alice
4000000,Action,Search and Destroy,"A satire about desperate hustling, pop philosophy and big money.",October Films,34700,389503,90,A screwball tragedy,Search and Destroy
2700000,Drama,Hard Times,"In the depression, Chaney, a strong silent streetfighter, joins with Speed, a promoter of no-holds-barred street boxing bouts. They go to New Orleans where Speed borrows money to set up fights for Chaney, but Speed gambles away any winnings.",Columbia Pictures Corporation,27641,5000000,93,"New Orleans, 1933. In those days words didn't say much.",Hard Times
2700000,Drama,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,Castle Rock Entertainment,38027,15992615,80,What if you had a second chance with the one that got away?,Before Sunset
26000000,Comedy,Anchorman: The Legend of Ron Burgundy,"It's the 1970s, and San Diego super-sexist anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",Apatow Productions,38177,90574188,94,They bring you the news so you don't have to get it yourself.,Anchorman: The Legend of Ron Burgundy
15000000,History,How the West Was Won,"The epic tale of the development of the American West from the 1830s through the Civil War to the end of the century, as seen through the eyes of one pioneer family.",Metro-Goldwyn-Mayer (MGM),22951,50000000,162,It's here! The mightiest adventure ever filmed!,How the West Was Won
1455000,Western,Shalako,"Sean Connery is Shalako, a guide in the old West who has to rescue an aristocratic British hunting party from Indians and bandits.",Central Cinema Company Film,25148,2620000,113,Sean Connery is Shalako! Shalako means action! Action means Bardot!,Shalako
60000000,Drama,The Village,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",Scott Rudin Productions,38198,256697520,108,There is no turning back,The Village
65000000,Drama,Collateral,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,Paramount Pictures,38203,217764291,120,It started like any other night.,Collateral
27000000,Crime,Suspect Zero,"A killer is on the loose, and an FBI agent sifts through clues and learns that the bloodthirsty felon's victims of choice are other serial killers.",Paramount Pictures,38226,13000000,99,Who's next?,Suspect Zero
20000000,Action,Paparazzi,A rising Hollywood actor decides to take personal revenge against a group of four persistent photographers to make them pay for almost causing a personal tragedy involving his wife and son.,Icon Productions,38233,16605763,84,One good shot deserves another.,Paparazzi
30000000,Drama,Wicker Park,"Matthew, a young advertising executive in Chicago, puts his life and a business trip to China on hold when he thinks he sees Lisa, the love of his life who left him without a word two years earlier, walking out of a restaurant one day.",Lakeshore Entertainment,38233,13001257,114,Passion never dies.,Wicker Park
1200000,Horror,Night of the Demons,"While conducting a seance during a Halloween party, high-school seniors unlock the demon that remains locked in the crematorium.",Republic Pictures,32430,3109904,90,"Angela is having a party, Jason and Freddy are too scared to come. But You'll have a hell of a time.",Night of the Demons
25000000,Action,Cellular,A young man receives an emergency phone call on his cell phone from an older woman. She claims to have been kidnapped and the kidnappers have targeted her husband and child next.,New Line Cinema,38236,56422687,94,If the signal dies so does she,Cellular
30000000,Comedy,Mr. 3000,"Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal.",Touchstone Pictures,38153,21800302,104,Big league. Big mouth. Big time.,Mr. 3000
31000000,Comedy,Wimbledon,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",Universal Pictures,38243,41512007,98,She's the golden girl. He's the longshot. It's a match made in...,Wimbledon
4000000,Horror,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",Universal Pictures,38086,30039392,99,A romantic comedy. With zombies.,Shaun of the Dead
47000000,Action,1492: Conquest of Paradise,1492: Conquest of Paradise depicts Christopher Columbusâ€™ discovery of The New World and his effect on the indigenous people.,Paramount Pictures,33886,7191399,154,"Centuries before the exploration of space, there was another voyage into the unknown.",1492: Conquest of Paradise
25000000,Thriller,Taxi,A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,Twentieth Century Fox Film Corporation,38266,36609966,97,Take a Ride on the Wild Side.,Taxi
50000000,Drama,Shall We Dance?,"Upon first sight of a beautiful instructor, a bored and overworked estate lawyer signs up for ballroom dancing lessons.",Miramax Films,38275,170128460,107,Step out of the ordinary,Shall We Dance?
16000000,Comedy,Sideways,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle.",Fox Searchlight Pictures,38282,109502303,126,In search of wine. In search of women. In search of themselves.,Sideways
92000000,Action,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",Walt Disney Pictures,38296,631442092,115,"No gut, no glory",The Incredibles
165000000,Adventure,The Polar Express,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",Golden Mean,38301,305875730,100,This holiday season... believe.,The Polar Express
50000000,Comedy,Bridget Jones: The Edge of Reason,"Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life.",Miramax Films,38301,40203020,108,Same Bridget. Brand new diary.,Bridget Jones: The Edge of Reason
7000000,Drama,Veer-Zaara,"The story of the love between Veer Pratap Singh, an Indian, and Zaara Hayaat Khan, a Pakistani...a love so great it knows no boundaries...",Yash Raj Films,38303,29385320,192,A Love Legend,Veer-Zaara
155000000,War,Alexander,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",France 3 CinÃ©ma,38312,167298192,175,The greatest legend of all was real.,Alexander
27000000,Drama,Closer,"A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.",Columbia Pictures,38322,115505027,104,"If you believe in love at first sight, you never stop looking.",Closer
110000000,Thriller,Ocean's Twelve,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam but a Europol agent is hot on their heels.",Village Roadshow Pictures,38330,362744280,125,Twelve is the new eleven.,Ocean's Twelve
16000000,Drama,Stateside,The film follows a rebellious teenager on leave from the Marines who falls in love with a female musician. The relationship is threatened when she develops a mental illness...,Overseas FilmGroup,38130,174318,97,Boy in a flack jacket meets girl in a straight jacket.,Stateside
2000000,Adventure,Boom Town,McMasters and Sand come to oil towns to get rich. Betsey comes West intending to marry Sand but marries McMasters instead. Getting rich and losing it all teaches McMasters and Sand the value of personal ties.,Metro-Goldwyn-Mayer (MGM),14853,9172000,119,Where Men Are Rough And Tough . . . And Like Their Women The Same Way !,Boom Town
1243000,Action,3 Godfathers,"Three outlaws on the run discover a dying woman and her baby. They swear to bring the infant to safety across the desert, even at the risk of their own lives.",Argosy Pictures,17868,2841000,106,John Ford's Legend of the Southwest!,3 Godfathers
3700000,Music,The Pirate,"A girl is engaged to the local richman, but meanwhile she has dreams about the legendary pirate Macoco. A traveling singer falls in love with her and to impress her he poses as the pirate.",Metro-Goldwyn-Mayer (MGM),17695,2956000,102,The great MGM musical romance,The Pirate
15000,Horror,Eegah,"Teenagers stumble across a prehistoric caveman, who goes on a rampage.",Fairway International Pictures,22805,3274,90,The Crazed Love Of A Prehistoric Giant For A Ravishing Teen-Age Girl!,Eegah
2500000,Action,Point Blank,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the rather inconsequential sum of money that was stolen from him.",Metro-Goldwyn-Mayer (MGM),24714,3200000,92,There are two kinds of people in his up-tight world: his victims and his women. And sometimes you can't tell them apart.,Point Blank
150000,Action,Sweet Sweetback's Baadasssss Song,"After saving a Black Panther from some racist cops, a black male prostitute goes on the run from the man with the help of the ghetto community and some disillusioned Hells Angels.",Yeah,26046,15200000,97,The Film that THE MAN doesn't want you to see!,Sweet Sweetback's Baadasssss Song
2500000,Crime,"Farewell, My Lovely","Los Angeles private eye Philip Marlowe is hired by paroled convict Moose Malloy to find his girlfriend Velma, former seedy nightclub dancer.",ITC Entertainment,27614,2000000,95,"I need another drink... I need a lot of life insurance... I need a vacation.... and all I've got is a coat, a hat, and a gun!","Farewell, My Lovely"
22000000,Science Fiction,Blue Thunder,"Officer Frank Murphy, an experienced LAPD helicopter pilot, is given command of the advanced new Blue Thunder chopper. But he begins to wonder why the LAPD would need a helicopter so powerful and why it is such a secret.",Columbia Pictures Corporation,30352,42313354,109,He's out there...,Blue Thunder
10000000,Action,Rumble Fish,"Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.",Universal Pictures,30609,2494480,94,Rusty James can't live up to his brother's reputation. His brother can't live it down.,Rumble Fish
3000000,Horror,Prince of Darkness,"A research team finds a mysterious cylinder in a deserted church. If opened, it could mean the end of the world.",Universal Pictures,32073,14182492,101,Before man walked the earth...it slept for centuries. It is evil. It is real. It is awakening.,Prince of Darkness
11000000,Comedy,Cry-Baby,A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.,Imagine Entertainment,32968,8266343,85,Good girls want him bad. Bad girls want him worse.,Cry-Baby
17000000,Comedy,Dutch,"To get to know his girlfriend's son, a man volunteers to pick him up from a prep school....only to learn that her son's not the nicest kid.",Twentieth Century Fox Film Corporation,33438,4603929,107,They're the best of friends... And they've got the scars to prove it.,Dutch
14000000,Action,Out for Justice,"Gino Felino (Steven Seagal) is an NYPD detective from Brooklyn who knows everyone and everything in his neighborhood. Killing his Partner was someone's mistake, because he's now Out For Justice.",Warner Bros.,33340,39673161,91,No Sleep To Brooklyn!,Out for Justice
2079000,Drama,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Excel Entertainment,37096,4099000,183,Welcome to a summer of their lives you will never forget.,Dil Chahta Hai
80000000,Thriller,A Sound of Thunder,"When a hunter sent back to the prehistoric era runs off the path he must not leave, he causes a chain reaction that alters history in disastrous ways.",Epsilon Motion Pictures,38487,5989640,110,Some Rules Should Never Be Broken.,A Sound of Thunder
